title,paths
Biography,content/ca/biography/_index.md|content/de/biography/_index.md|content/en/biography/_index.md|content/fr/biography/_index.md|content/it/biography/_index.md
Recordings,content/ca/discs/_index.md|content/de/discs/_index.md|content/en/discs/_index.md|content/es/discs/_index.md|content/fr/discs/_index.md|content/it/discs/_index.md
Luis Milán — El Maestro,content/ca/discs/luis-milan/index.md|content/de/discs/luis-milan/index.md|content/en/discs/luis-milan/index.md|content/es/discs/luis-milan/index.md|content/fr/discs/luis-milan/index.md|content/it/discs/luis-milan/index.md
Instruments,content/ca/instruments/_index.md|content/en/instruments/_index.md|content/fr/instruments/_index.md
Anima Shirvani,content/ca/programs/anima-shirvani.md|content/de/programs/anima-shirvani.md|content/en/programs/anima-shirvani.md|content/es/programs/anima-shirvani.md|content/fr/programs/anima-shirvani.md|content/it/programs/anima-shirvani.md
Arlecchino innamorato,content/ca/programs/arlecchino-innamorato.md|content/de/programs/arlecchino-innamorato.md|content/en/programs/arlecchino-innamorato.md|content/es/programs/arlecchino-innamorato.md|content/fr/programs/arlecchino-innamorato.md|content/it/programs/arlecchino-innamorato.md
Bologna liutistica,content/ca/programs/bologna-liutistica.md|content/de/programs/bologna-liutistica.md|content/en/programs/bologna-liutistica.md|content/es/programs/bologna-liutistica.md|content/fr/programs/bologna-liutistica.md|content/it/programs/bologna-liutistica.md
Caravelle della musica,content/ca/programs/caravelle-della-musica.md|content/de/programs/caravelle-della-musica.md|content/en/programs/caravelle-della-musica.md|content/es/programs/caravelle-della-musica.md|content/fr/programs/caravelle-della-musica.md|content/it/programs/caravelle-della-musica.md
Dos peninsulas,content/ca/programs/dos-peninsulas.md|content/de/programs/dos-peninsulas.md|content/en/programs/dos-peninsulas.md|content/es/programs/dos-peninsulas.md|content/fr/programs/dos-peninsulas.md|content/it/programs/dos-peninsulas.md
Les musiques du Roi Soleil,content/ca/programs/les-musiques-du-roi-soleil.md|content/de/programs/les-musiques-du-roi-soleil.md|content/en/programs/les-musiques-du-roi-soleil.md|content/es/programs/les-musiques-du-roi-soleil.md|content/fr/programs/les-musiques-du-roi-soleil.md|content/it/programs/les-musiques-du-roi-soleil.md
Tanyer de gala,content/ca/programs/tanyer-de-gala.md|content/de/programs/tanyer-de-gala.md|content/en/programs/tanyer-de-gala.md|content/es/programs/tanyer-de-gala.md|content/it/programs/tanyer-de-gala.md
Tres territorios,content/ca/programs/tres-territorios.md|content/de/programs/tres-territorios.md|content/en/programs/tres-territorios.md|content/es/programs/tres-territorios.md|content/fr/programs/tres-territorios.md|content/it/programs/tres-territorios.md
Una storia fra le corde...,content/ca/programs/una-storia-fra-le-corde.md|content/de/programs/una-storia-fra-le-corde.md|content/en/programs/una-storia-fra-le-corde.md|content/es/programs/una-storia-fra-le-corde.md|content/fr/programs/una-storia-fra-le-corde.md|content/it/programs/una-storia-fra-le-corde.md
Viaggio musicale nell'Emilia del 600',content/ca/programs/viaggio-musicale-emilia.md|content/de/programs/viaggio-musicale-emilia.md|content/en/programs/viaggio-musicale-emilia.md|content/es/programs/viaggio-musicale-emilia.md|content/fr/programs/viaggio-musicale-emilia.md|content/it/programs/viaggio-musicale-emilia.md
Volcania,content/ca/programs/volcania.md|content/de/programs/volcania.md|content/en/programs/volcania.md|content/es/programs/volcania.md|content/fr/programs/volcania.md|content/it/programs/volcania.md
Contact,content/en/contact/_index.md|content/fr/contact/_index.md
